Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,V,WMT
2022-04-01,171.1117706298828,163.55999755859375,139.1904754638672,160.52188110351562,122.55379486083984,300.570068359375,142.0386962890625,361.5299987792969,220.43289184570312,48.06018829345703
2022-04-04,175.16598510742188,168.34649658203125,141.99217224121094,158.97242736816406,123.09722137451172,305.96136474609375,141.11370849609375,381.8166809082031,221.77676391601562,48.069740295410156
2022-04-05,171.84796142578125,164.05499267578125,139.62799072265625,159.99937438964844,121.66468811035156,301.9884033203125,141.60826110839844,363.7533264160156,220.1699676513672,48.20659255981445
2022-04-06,168.67726135253906,158.75599670410156,135.6126708984375,164.1613006591797,119.97666931152344,290.9338073730469,143.63229370117188,348.586669921875,213.27532958984375,49.326866149902344
2022-04-07,168.9815673828125,157.7845001220703,134.95767211914062,163.73788452148438,119.6117172241211,292.7503662109375,145.491455078125,352.4200134277344,210.490234375,49.820167541503906
2022-04-08,166.96922302246094,154.4604949951172,132.37449645996094,164.0621795654297,121.80155944824219,288.47613525390625,146.6271209716797,341.8299865722656,211.29849243164062,50.097042083740234
2022-04-11,162.70883178710938,151.1219940185547,127.94107818603516,162.00827026367188,121.35446166992188,277.1011047363281,146.0684356689453,325.30999755859375,209.12692260742188,49.10407638549805
2022-04-12,164.5837860107422,150.78750610351562,126.83968353271484,162.06231689453125,120.02227783203125,273.9925842285156,145.62881469726562,328.98333740234375,205.8645782470703,48.7667350769043
2022-04-13,167.2734832763672,155.54100036621094,129.0042266845703,162.74697875976562,116.15355682373047,279.3935852050781,146.0409698486328,340.7900085449219,207.6856231689453,50.036582946777344
2022-04-14,162.2572784423828,151.7064971923828,125.86192321777344,162.06231689453125,115.07689666748047,271.826416015625,145.22586059570312,328.3333435058594,207.21820068359375,49.99201965332031
2022-04-18,162.041259765625,152.78500366210938,126.80194091796875,160.04444885253906,117.21198272705078,272.49664306640625,143.84291076660156,334.7633361816406,207.58824157714844,49.610111236572266
2022-04-19,164.32852172851562,158.11549377441406,129.1184539794922,164.92701721191406,119.63907623291016,277.1399230957031,145.99514770507812,342.7166748046875,210.05197143554688,50.17342758178711
2022-04-20,164.16168212890625,153.9980010986328,127.16293334960938,165.6566925048828,120.05879974365234,278.1695861816406,149.87835693359375,325.73333740234375,212.08729553222656,50.8035774230957
